active_pages	stream	avg_latency_ns	prefetched	threshold_ns	probes
24	0	210	no	120	1000
24	1	209	no	120	1000
24	2	207	no	120	1000
24	3	209	no	120	1000
24	4	207	no	120	1000
24	5	206	no	120	1000
24	6	205	no	120	1000
24	7	206	no	120	1000
24	8	208	no	120	1000
24	9	206	no	120	1000
24	10	209	no	120	1000
24	11	206	no	120	1000
24	12	208	no	120	1000
24	13	208	no	120	1000
24	14	207	no	120	1000
24	15	207	no	120	1000
24	16	207	no	120	1000
24	17	207	no	120	1000
24	18	206	no	120	1000
24	19	209	no	120	1000
24	20	210	no	120	1000
24	21	208	no	120	1000
24	22	208	no	120	1000
24	23	209	no	120	1000
